"Table 1a. Coefficient of Variation of the Average Annual Family Income, by  Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
Camarines Sur,5.7,3.4,3.8,3.5,3.4,3.3,4.1,4.0,5.9,5.8,12.6,7.6,11.3,10.4,9.8,10.4,9.1,9.2,9.2,13.0,12.0,18.9,7.9,3.5,2.8,3.6,3.6,3.9,3.5,4.2,4.8,4.3,17.3
Catanduanes,4.3,3.9,2.9,3.3,3.6,3.7,4.2,5.0,4.4,5.4,5.6,9.1,10.9,11.6,10.1,11.4,10.3,11.6,13.9,15.2,12.3,20.5,6.5,3.2,2.5,3.2,4.1,3.5,4.8,3.6,4.6,4.9,10.8
Masbate,6.3,3.0,3.1,3.3,3.9,3.7,3.1,3.8,4.7,6.5,7.5,9.4,11.4,9.8,8.5,10.4,9.8,10.2,10.8,10.1,14.8,23.5,5.0,3.2,2.9,3.1,3.4,3.6,4.0,4.0,4.3,4.7,11.1
Sorsogon,4.4,3.0,3.5,2.9,2.9,2.9,3.1,4.4,4.0,4.4,5.7,5.8,11.2,9.4,10.2,9.1,9.3,9.8,7.7,11.5,12.1,17.2,4.5,2.9,2.9,2.8,3.1,4.0,3.5,3.9,5.2,5.7,7.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI - WESTERN VISAYAS,2.5,1.5,1.9,1.9,1.7,2.2,1.8,2.0,2.5,2.2,2.9,2.7,2.4,2.0,1.7,2.1,2.1,2.0,2.2,2.3,2.3,3.2,3.0,1.7,1.6,1.6,1.9,2.1,2.2,2.5,2.6,2.4,3.9
Aklan,4.6,3.8,4.0,3.3,3.5,3.9,3.9,4.9,5.3,4.7,6.4,7.3,14.8,10.4,8.6,10.5,9.2,8.8,12.8,11.8,12.3,14.6,5.0,3.0,4.1,3.7,3.9,3.9,4.7,4.8,4.7,4.2,7.7
Antique,4.1,2.4,3.6,3.6,3.9,3.8,4.5,4.7,4.5,5.5,4.4,6.7,12.2,10.0,11.8,8.9,10.6,11.4,10.4,12.7,10.7,13.3,4.1,4.7,3.7,3.3,3.3,3.9,4.5,6.4,6.1,4.3,5.3
Capiz,3.8,3.4,3.0,3.5,3.2,3.7,3.9,3.8,4.0,4.9,6.1,5.2,12.3,9.3,9.5,9.3,9.8,8.1,9.2,9.3,11.8,15.6,3.4,3.8,2.5,2.9,3.2,3.9,3.3,4.8,4.4,4.4,6.8
Iloilo (Excluding City of Iloilo),5.0,2.6,3.4,3.9,3.4,4.2,3.8,3.9,5.0,3.9,5.3,7.2,13.9,10.9,9.9,9.1,10.8,10.2,11.9,10.7,11.2,17.9,6.3,3.0,3.4,3.9,3.7,3.6,4.2,4.6,5.5,4.7,6.9
City of Iloilo,4.6,3.6,3.5,3.2,3.9,4.2,3.3,4.7,4.4,3.8,7.1,6.7,10.7,10.7,9.9,9.8,9.5,9.4,8.9,9.6,10.4,18.5,5.1,3.3,3.0,4.4,4.9,4.0,4.1,3.4,4.6,4.9,12.0
Guimaras,6.4,4.7,5.2,4.2,5.2,5.6,5.1,5.1,7.9,7.2,12.8,10.0,12.3,14.1,12.4,12.4,15.0,12.5,12.0,12.9,14.3,30.0,4.0,3.7,5.6,3.6,4.8,3.8,6.3,6.8,7.7,6.9,6.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGROS ISLAND REGION,3.3,2.9,2.6,2.4,2.8,2.7,2.4,3.4,2.9,2.5,4.4,2.8,3.1,2.0,2.3,2.5,2.3,2.4,2.4,2.9,3.4,3.8,3.2,2.4,2.5,2.2,2.7,2.5,2.7,2.5,3.0,2.9,4.9
Negros Occidental (Excluding City of Bacolod),5.0,4.5,4.0,2.9,3.9,3.7,3.8,4.9,5.4,4.9,7.1,5.4,12.3,10.7,9.1,10.7,9.0,10.6,10.6,12.6,10.1,15.2,4.6,4.4,3.1,3.3,3.8,3.4,4.4,4.2,4.1,6.2,5.9
City of Bacolod,4.3,3.4,2.9,3.6,4.3,3.8,4.3,4.4,4.4,4.4,7.1,4.9,10.0,10.1,10.9,11.4,9.6,10.1,9.9,10.9,10.2,13.5,3.0,3.2,3.6,2.9,3.3,3.9,3.8,3.6,3.9,4.2,7.1
Negros Oriental,6.6,3.4,3.4,4.0,3.9,4.2,3.9,4.9,4.4,5.9,8.0,7.2,15.1,11.2,9.2,11.0,10.5,11.1,10.6,11.4,12.0,16.8,7.2,3.7,3.3,2.6,3.6,4.3,3.8,5.2,4.7,7.1,9.6
